x,y,z
0.0,0.0,0.0
0.0,0.2,0.0
0.0,0.4,0.0
0.0,0.6,0.0
0.0,0.8,0.0
0.0,1.0,0.0
0.0,1.2,0.0
0.0,1.4,0.0
0.0,1.6,0.0
0.0,1.8,0.0
0.0,2.0,0.0
0.0,2.2,0.0
0.0,2.4,0.0
0.0,2.6,0.0
0.0,2.8,0.0
0.0,3.0,0.0
0.0,3.2,0.0
0.0,3.4,0.0
0.0,3.6,0.0
0.0,3.8,0.0
0.0,4.0,0.0
0.0,4.2,0.0
0.0,4.4,0.0
0.0,4.6,0.0
0.0,4.8,0.0
0.0,5.0,0.0
0.0,5.2,0.0
0.0,5.4,0.0
0.0,5.6,0.0
0.0,5.8,0.0
0.0,6.0,0.0
0.0,6.2,0.0
0.0,6.4,0.0
0.0,6.6,0.0
0.0,6.8,0.0
0.0,7.0,0.0
0.0,7.2,0.0
0.0,7.4,0.0
0.0,7.6,0.0
0.0,7.8,0.0
0.0,8.0,0.0
0.0,8.2,0.0
0.0,8.4,0.0
0.0,8.6,0.0
0.0,8.8,0.0
0.0,9.0,0.0
0.0,9.2,0.0
0.0,9.4,0.0
0.0,9.6,0.0
0.2,0.0,0.0
0.2,0.2,0.0
0.2,0.4,0.0
0.2,0.6,0.0
0.2,0.8,0.0
0.2,1.0,0.0
0.2,1.2,0.0
0.2,1.4,0.0
0.2,1.6,0.0
0.2,1.8,0.0
0.2,2.0,0.0
0.2,2.2,0.0
0.2,2.4,0.0
0.2,2.6,0.0
0.2,2.8,0.0
0.2,3.0,0.0
0.2,3.2,0.0
0.2,3.4,0.0
0.2,3.6,0.0
0.2,3.8,0.0
0.2,4.0,0.0
0.2,4.2,0.0
0.2,4.4,0.0
0.2,4.6,0.0
0.2,4.8,0.0
0.2,5.0,0.0
0.2,5.2,0.0
0.2,5.4,0.0
0.2,5.6,0.0
0.2,5.8,0.0
0.2,6.0,0.0
0.2,6.2,0.0
0.2,6.4,0.0
0.2,6.6,0.0
0.2,6.8,0.0
0.2,7.0,0.0
0.2,7.2,0.0
0.2,7.4,0.0
0.2,7.6,0.0
0.2,7.8,0.0
0.2,8.0,0.0
0.2,8.2,0.0
0.2,8.4,0.0
0.2,8.6,0.0
0.2,8.8,0.0
0.2,9.0,0.0
0.2,9.2,0.0
0.2,9.4,0.0
0.2,9.6,0.0
0.4,0.0,0.0
0.4,0.2,0.0
0.4,0.4,0.0
0.4,0.6,0.0
0.4,0.8,0.0
0.4,1.0,0.0
0.4,1.2,0.0
0.4,1.4,0.0
0.4,1.6,0.0
0.4,1.8,0.0
0.4,2.0,0.0
0.4,2.2,0.0
0.4,2.4,0.0
0.4,2.6,0.0
0.4,2.8,0.0
0.4,3.0,0.0
0.4,3.2,0.0
0.4,3.4,0.0
0.4,3.6,0.0
0.4,3.8,0.0
0.4,4.0,0.0
0.4,4.2,0.0
0.4,4.4,0.0
0.4,4.6,0.0
0.4,4.8,0.0
0.4,5.0,0.0
0.4,5.2,0.0
0.4,5.4,0.0
0.4,5.6,0.0
0.4,5.8,0.0
0.4,6.0,0.0
0.4,6.2,0.0
0.4,6.4,0.0
0.4,6.6,0.0
0.4,6.8,0.0
0.4,7.0,0.0
0.4,7.2,0.0
0.4,7.4,0.0
0.4,7.6,0.0
0.4,7.8,0.0
0.4,8.0,0.0
0.4,8.2,0.0
0.4,8.4,0.0
0.4,8.6,0.0
0.4,8.8,0.0
0.4,9.0,0.0
0.4,9.2,0.0
0.4,9.4,0.0
0.4,9.6,0.0
0.6,0.0,0.0
0.6,0.2,0.0
0.6,0.4,0.0
0.6,0.6,0.0
0.6,0.8,0.0
0.6,1.0,0.0
0.6,1.2,0.0
0.6,1.4,0.0
0.6,1.6,0.091
0.6,1.8,0.12
0.6,2.0,0.0
0.6,2.2,0.068
0.6,2.4,0.0
0.6,2.6,0.046
0.6,2.8,0.047
0.6,3.0,0.0
0.6,3.2,0.0
0.6,3.4,0.0
0.6,3.6,0.0
0.6,3.8,0.0
0.6,4.0,0.0
0.6,4.2,0.0
0.6,4.4,0.0
0.6,4.6,0.0
0.6,4.8,0.0
0.6,5.0,0.011
0.6,5.2,0.033
0.6,5.4,0.0
0.6,5.6,0.015
0.6,5.8,0.051
0.6,6.0,0.0
0.6,6.2,0.0
0.6,6.4,0.112
0.6,6.6,0.063
0.6,6.8,0.014
0.6,7.0,0.0
0.6,7.2,0.0
0.6,7.4,0.0
0.6,7.6,0.0
0.6,7.8,0.0
0.6,8.0,0.0
0.6,8.2,0.0
0.6,8.4,0.0
0.6,8.6,0.0
0.6,8.8,0.0
0.6,9.0,0.0
0.6,9.2,0.0
0.6,9.4,0.0
0.6,9.6,0.0
0.8,0.0,0.0
0.8,0.2,0.0
0.8,0.4,0.0
0.8,0.6,0.0
0.8,0.8,0.0
0.8,1.0,0.0
0.8,1.2,0.0
0.8,1.4,0.0
0.8,1.6,0.038
0.8,1.8,0.067
0.8,2.0,0.0
0.8,2.2,0.015
0.8,2.4,0.0
0.8,2.6,0.0
0.8,2.8,0.0
0.8,3.0,0.0
0.8,3.2,0.0
0.8,3.4,0.0
0.8,3.6,0.0
0.8,3.8,0.0
0.8,4.0,0.0
0.8,4.2,0.0
0.8,4.4,0.0
0.8,4.6,0.0
0.8,4.8,0.0
0.8,5.0,0.0
0.8,5.2,0.0
0.8,5.4,0.0
0.8,5.6,0.0
0.8,5.8,0.0
0.8,6.0,0.0
0.8,6.2,0.0
0.8,6.4,0.06
0.8,6.6,0.011
0.8,6.8,0.0
0.8,7.0,0.0
0.8,7.2,0.0
0.8,7.4,0.0
0.8,7.6,0.0
0.8,7.8,0.0
0.8,8.0,0.0
0.8,8.2,0.0
0.8,8.4,0.0
0.8,8.6,0.0
0.8,8.8,0.0
0.8,9.0,0.0
0.8,9.2,0.0
0.8,9.4,0.0
0.8,9.6,0.0
1.0,0.0,0.0
1.0,0.2,0.0
1.0,0.4,0.0
1.0,0.6,0.0
1.0,0.8,0.0
1.0,1.0,0.0
1.0,1.2,0.0
1.0,1.4,0.0
1.0,1.6,0.018
1.0,1.8,0.047
1.0,2.0,0.0
1.0,2.2,0.0
1.0,2.4,0.0
1.0,2.6,0.0
1.0,2.8,0.0
1.0,3.0,0.0
1.0,3.2,0.0
1.0,3.4,0.0
1.0,3.6,0.0
1.0,3.8,0.0
1.0,4.0,0.0
1.0,4.2,0.0
1.0,4.4,0.0
1.0,4.6,0.0
1.0,4.8,0.0
1.0,5.0,0.0
1.0,5.2,0.0
1.0,5.4,0.0
1.0,5.6,0.0
1.0,5.8,0.0
1.0,6.0,0.0
1.0,6.2,0.0
1.0,6.4,0.039
1.0,6.6,0.0
