x,y,z
-5.815,-4.338,0.022
-5.815,-4.154,0.078
-5.815,-3.969,0.082
-5.815,-3.784,0.077
-5.815,-3.6,0.083
-5.815,-3.415,0.123
-5.815,-3.231,0.189
-5.815,-3.046,0.218
-5.815,-2.861,0.216
-5.815,-2.677,0.166
-5.815,-2.492,0.136
-5.815,-2.308,0.131
-5.815,-2.123,0.145
-5.815,-1.938,0.146
-5.815,-1.754,0.094
-5.815,-1.569,0.033
-5.815,-0.831,0.007
-5.815,0.092,0.056
-5.815,0.277,0.11
-5.815,0.462,0.131
-5.815,0.646,0.124
-5.815,0.831,0.113
-5.815,1.015,0.149
-5.815,1.2,0.189
-5.815,1.385,0.23
-5.815,1.569,0.211
-5.815,1.754,0.162
-5.815,1.938,0.113
-5.815,2.123,0.089
-5.815,2.308,0.104
-5.815,2.492,0.096
-5.815,2.677,0.069
-5.815,3.6,0.011
-5.815,3.784,0.009
-5.815,4.338,0.019
-5.815,4.523,0.085
-5.815,4.707,0.145
-5.63,-4.154,0.029
-5.63,-3.969,0.034
-5.63,-3.784,0.029
-5.63,-3.6,0.035
-5.63,-3.415,0.075
-5.63,-3.231,0.141
-5.63,-3.046,0.17
-5.63,-2.861,0.168
-5.63,-2.677,0.118
-5.63,-2.492,0.088
-5.63,-2.308,0.082
-5.63,-2.123,0.096
-5.63,-1.938,0.098
-5.63,-1.754,0.046
-5.63,0.092,0.008
-5.63,0.277,0.061
-5.63,0.462,0.083
-5.63,0.646,0.075
-5.63,0.831,0.065
-5.63,1.015,0.101
-5.63,1.2,0.141
-5.63,1.385,0.181
-5.63,1.569,0.162
-5.63,1.754,0.113
-5.63,1.938,0.064
-5.63,2.123,0.041
-5.63,2.308,0.056
-5.63,2.492,0.048
-5.63,2.677,0.021
-5.63,4.523,0.037
-5.63,4.707,0.097
-5.446,-3.415,0.025
-5.446,-3.231,0.091
-5.446,-3.046,0.12
-5.446,-2.861,0.118
-5.446,-2.677,0.068
-5.446,-2.492,0.038
-5.446,-2.308,0.032
-5.446,-2.123,0.046
-5.446,-1.938,0.047
-5.446,0.277,0.011
-5.446,0.462,0.033
-5.446,0.646,0.025
-5.446,0.831,0.015
-5.446,1.015,0.051
-5.446,1.2,0.091
-5.446,1.385,0.131
-5.446,1.569,0.112
-5.446,1.754,0.063
-5.446,1.938,0.014
-5.446,2.308,0.006
-5.446,4.707,0.047
-5.261,-3.231,0.038
-5.261,-3.046,0.067
-5.261,-2.861,0.065
-5.261,-2.677,0.015
-5.261,1.2,0.039
-5.261,1.385,0.079
-5.261,1.569,0.06
-5.261,1.754,0.011
-5.077,-3.231,0.018
-5.077,-3.046,0.047
-5.077,-2.861,0.045
-5.077,1.2,0.018
-5.077,1.385,0.058
-5.077,1.569,0.039
-4.892,-3.231,0.031
-4.892,-3.046,0.06
-4.892,-2.861,0.058
-4.892,-2.677,0.008
-4.892,1.2,0.032
-4.892,1.385,0.072
-4.892,1.569,0.053
-4.892,1.754,0.004
-4.707,-3.231,0.04
-4.707,-3.046,0.069
-4.707,-2.861,0.067
-4.707,-2.677,0.017
-4.707,1.2,0.041
-4.707,1.385,0.081
-4.707,1.569,0.062
-4.707,1.754,0.013
-4.523,-3.231,0.047
-4.523,-3.046,0.076
-4.523,-2.861,0.074
-4.523,-2.677,0.024
-4.523,-2.123,0.002
-4.523,-1.938,0.004
-4.523,1.015,0.007
-4.523,1.2,0.047
-4.523,1.385,0.088
-4.523,1.569,0.069
-4.523,1.754,0.02
-4.523,4.707,0.003
-4.338,-3.231,0.035
-4.338,-3.046,0.065
-4.338,-2.861,0.063
-4.338,-2.677,0.012
-4.338,1.2,0.036
-4.338,1.385,0.076
-4.338,1.569,0.057
-4.338,1.754,0.008
-4.154,-3.046,0.026
-4.154,-2.861,0.024
-4.154,1.385,0.037
-4.154,1.569,0.019
-3.969,-3.046,0.005
-3.969,-2.861,0.003
-3.969,1.385,0.017
-3.784,-3.046,0.009
-3.784,-2.861,0.007
-3.784,1.385,0.021
-3.784,1.569,0.002
-3.6,-3.231,0.005
-3.6,-3.046,0.034
-3.6,-2.861,0.032
-3.6,1.2,0.005
-3.6,1.385,0.045
-3.6,1.569,0.027
-3.415,-3.231,0.062
-3.415,-3.046,0.091
-3.415,-2.861,0.09
-3.415,-2.677,0.039
-3.415,-2.492,0.01
-3.415,-2.308,0.004
-3.415,-2.123,0.018
-3.415,-1.938,0.019
-3.415,0.462,0.004
-3.415,1.015,0.022
-3.415,1.2,0.063
-3.415,1.385,0.103
-3.415,1.569,0.084
-3.415,1.754,0.035
-3.415,4.707,0.019
-3.231,-3.969,0.003
-3.231,-3.6,0.004
-3.231,-3.415,0.045
-3.231,-3.231,0.11
-3.231,-3.046,0.14
-3.231,-2.861,0.138
-3.231,-2.677,0.088
-3.231,-2.492,0.058
-3.231,-2.308,0.052
-3.231,-2.123,0.066
-3.231,-1.938,0.067
-3.231,-1.754,0.016
-3.231,0.277,0.031
-3.231,0.462,0.052
-3.231,0.646,0.045
-3.231,0.831,0.035
-3.231,1.015,0.07
-3.231,1.2,0.111
-3.231,1.385,0.151
-3.231,1.569,0.132
-3.231,1.754,0.083
-3.231,1.938,0.034
-3.231,2.123,0.01
-3.231,2.308,0.026
-3.231,2.492,0.018
-3.231,4.523,0.006
-3.231,4.707,0.067
-3.046,-4.154,0.019
-3.046,-3.969,0.023
-3.046,-3.784,0.018
-3.046,-3.6,0.024
-3.046,-3.415,0.064
-3.046,-3.231,0.13
-3.046,-3.046,0.159
-3.046,-2.861,0.157
-3.046,-2.677,0.107
-3.046,-2.492,0.077
-3.046,-2.308,0.071
-3.046,-2.123,0.085
-3.046,-1.938,0.087
-3.046,-1.754,0.035
-3.046,0.277,0.05
-3.046,0.462,0.072
-3.046,0.646,0.064
-3.046,0.831,0.054
-3.046,1.015,0.09
-3.046,1.2,0.13
-3.046,1.385,0.17
-3.046,1.569,0.152
-3.046,1.754,0.102
-3.046,1.938,0.053
-3.046,2.123,0.03
-3.046,2.308,0.045
-3.046,2.492,0.037
-3.046,2.677,0.01
-3.046,4.523,0.026
-3.046,4.707,0.086
-2.861,-4.154,0.027
-2.861,-3.969,0.031
-2.861,-3.784,0.027
-2.861,-3.6,0.032
-2.861,-3.415,0.073
-2.861,-3.231,0.139
-2.861,-3.046,0.168
-2.861,-2.861,0.166
-2.861,-2.677,0.116
-2.861,-2.492,0.086
-2.861,-2.308,0.08
-2.861,-2.123,0.094
-2.861,-1.938,0.095
-2.861,-1.754,0.044
